sigma	lambda success_rate
1	0.001	55.46218487394958
1	0.003	13.636363636363635
1	0.01	1.1494252873563218
1	0.03	0.45662100456621
1.3	0.001	28.63247863247863
1.3	0.003	5.785123966942149
1.7	0.001	21.397379912663755
1.7	0.003	4.621848739495799
1.7	0.01	0.4032258064516129
2.1	0.001	17.77777777777778
2.1	0.003	6.392694063926941
2.1	0.01	0.43103448275862066
2.1	0.3	0.4807692307692308
2.3	0.001	16.143497757847534
2.3	0.003	4.119850187265917
2.3	0.01	2.1929824561403506
2.3	0.03	0.8733624454148471
2.5	0.001	17.46031746031746
2.5	0.003	4.508196721311475
2.5	0.01	1.5625
2.5	0.03	0.4629629629629629
