#	sigma	lambda success
1.8	0.8	67.0967741935484
1.8	1	67.08860759493672
1.8	1.2	62.23776223776224
1.8	1.4	68.83116883116884
1.8	1.6	68.75
1.8	1.8	60.64516129032258
1.8	2	65.82278481012658
1.8	2.2	67.08074534161491
2	0.8	68.62745098039215
2	1	67.10526315789474
2	1.2	62.643678160919535
2	1.4	61.25000000000001
2	1.6	71.875
2	1.8	66.0377358490566
2	2	66.66666666666666
2	2.2	66.86746987951807
2.2	0.8	64.44444444444444
2.2	1	68.42105263157895
2.2	1.2	70.74829931972789
2.2	1.4	61.72839506172839
2.2	1.6	70.16129032258065
2.2	1.8	69.48051948051948
2.2	2	69.07894736842105
2.2	2.2	61.67664670658682
2.4	0.8	71.42857142857143
2.4	1	62.745098039215684
2.4	1.2	66.2420382165605
2.4	1.4	65.56291390728477
2.4	1.6	64.74358974358975
2.4	1.8	65.67164179104478
2.4	2	66.02564102564102
2.4	2.2	55.033557046979865
2.6	0.8	62.27544910179641
2.6	1	73.68421052631578
2.6	1.2	67.26190476190477
2.6	1.4	65.3061224489796
2.6	1.6	69.07894736842105
2.6	1.8	70.51282051282051
2.6	2	64.28571428571429
2.6	2.2	67.85714285714286
2.8	0.8	67.37588652482269
2.8	1	66.87898089171973
2.8	1.2	73.91304347826086
2.8	1.4	64.1025641025641
2.8	1.6	66.66666666666666
2.8	1.8	65.49707602339181
2.8	2	71.08433734939759
2.8	2.2	56.41025641025641
3	0.8	61.48648648648649
3	1	68.15286624203821
3	1.2	65.3409090909091
3	1.4	66.86390532544378
3	1.6	65.21739130434783
3	1.8	64.41717791411043
3	2	63.190184049079754
3	2.2	65.08875739644971
3.2	0.8	66.02564102564102
3.2	1	66.875
3.2	1.2	64.28571428571429
3.2	1.4	66.4179104477612
3.2	1.6	66.85714285714286
3.2	1.8	68.9873417721519
3.2	2	66.06060606060606
3.2	2.2	66.01307189542483
