 err sigma lambda
2.0 2.1 1.0 18/248 7.258064516129033%
2.0 2.3 0.0010 87/224 38.839285714285715%
2.0 2.3 0.0030 32/235 13.617021276595745%
2.0 2.3 0.01 33/262 12.595419847328243%
2.0 2.3 0.03 21/258 8.13953488372093%
2.0 2.3 0.1 14/222 6.306306306306306%
2.0 2.3 0.3 19/243 7.818930041152264%
2.0 2.3 1.0 18/229 7.860262008733625%
2.0 2.5 0.0010 77/234 32.9059829059829%
2.0 2.5 0.0030 51/223 22.869955156950674%
2.0 2.5 0.01 29/232 12.5%
2.0 2.5 0.03 9/205 4.390243902439024%
2.0 2.5 0.1 21/225 9.333333333333334%
2.0 2.5 0.3 19/228 8.333333333333332%
2.0 2.5 1.0 18/222 8.108108108108109%
3.0 1.0 0.0010 100/250 40.0%
3.0 1.0 0.0030 17/240 7.083333333333333%
3.0 1.0 0.01 1/250 0.4%
3.0 1.0 0.03 1/236 0.423728813559322%
3.0 1.3 0.0010 71/242 29.338842975206614%
3.0 1.3 0.0030 8/209 3.827751196172249%
3.0 1.3 0.01 1/240 0.4166666666666667%
3.0 1.3 1.0 1/238 0.42016806722689076%
3.0 1.7 0.0010 57/243 23.456790123456788%
3.0 1.7 0.0030 11/243 4.526748971193416%
3.0 1.7 0.01 2/227 0.881057268722467%
3.0 2.1 0.0010 44/242 18.181818181818183%
3.0 2.1 0.0030 7/238 2.941176470588235%
3.0 2.1 0.01 2/246 0.8130081300813009%
3.0 2.1 0.03 1/234 0.4273504273504274%
3.0 2.3 0.0010 36/224 16.071428571428573%
3.0 2.3 0.0030 9/235 3.829787234042553%
3.0 2.3 0.01 1/262 0.38167938931297707%
3.0 2.3 0.03 1/258 0.3875968992248062%
3.0 2.3 1.0 1/229 0.43668122270742354%
3.0 2.5 0.0010 51/234 21.794871794871796%
3.0 2.5 0.0030 15/223 6.726457399103139%
3.0 2.5 0.01 1/232 0.43103448275862066%
3.0 2.5 0.03 1/205 0.4878048780487805%
3.0 2.5 0.3 1/228 0.43859649122807015%
4.0 1.0 0.0010 41/250 16.400000000000002%
