sigma	lambda success_rate
1	0.001	37.81512605042017
1	0.0033.88429752066116
1	0.01	6.513409961685824
1	0.01.82648401826484
1	0.1	0.8130081300813009
1	1	0.3787878787878788
1.0.001	47.863247863247864
1.0.0021.90082644628099
1.0.01	6.422018348623854
1.0.01.2195121951219512
1.0.1	0.4273504273504274
1.7	0.001	44.10480349344978
1.7	0.0019.327731092436977
1.7	0.01	3.6290322580645165
1.7	0.00.8097165991902834
1.7	0.1	0.37735849056603776
2.1	0.001	38.666666666666664
2.1	0.0014.15525114155251
2.1	0.01	7.327586206896551
2.1	0.03.4220532319391634
2.1	0.1	0.4291845493562232
2.1	1	0.4149377593360996
2.0.001	40.35874439461883
2.0.0019.475655430711612
2.0.01	7.017543859649122
2.0.02.6200873362445414
2.0.1	0.8771929824561403
2.0.0.8333333333333334
2.1	0.7246376811594203
2.5	0.001	38.88888888888889
2.5	0.0015.163934426229508
2.5	0.01	5.078125
2.5	0.02.314814814814815
2.5	0.1	0.8620689655172413
2.5	0.0.8438818565400843
2.5	1	0.41841004184100417
