sigma	lambda success_rate
0.000.8403361344537815
0.003	18.181818181818183
0.047.12643678160919
0.03	57.99086757990868
0.52.4390243902439
0.3	49.37759336099585
32.95454545454545
1.3	0.001.282051282051282
1.3	0.003	28.92561983471074
1.3	0.049.54128440366973
1.3	0.03	57.3170731707317
1.3	0.44.01709401709402
1.3	0.3	40.725806451612904
1.3	27.27272727272727
1.7	0.007.423580786026202
1.7	0.003	32.773109243697476
1.7	0.051.20967741935484
1.7	0.03	51.012145748987855
1.7	0.47.54716981132076
1.7	0.3	38.88888888888889
1.7	31.550802139037433
2.0.0012.88888888888889
2.0.003	42.922374429223744
2.0.048.706896551724135
2.0.03	50.950570342205324
2.0.45.493562231759654
2.0.3	35.57692307692308
2.36.09958506224066
2.3	0.0013.452914798206278
2.3	0.003	37.07865168539326
2.3	0.043.859649122807014
2.3	0.03	48.03493449781659
2.3	0.39.91228070175439
2.3	0.3	40.833333333333336
2.3	37.31884057971014
2.5	0.0012.698412698412698
2.5	0.003	38.52459016393443
2.5	0.046.484375
2.5	0.03	41.66666666666667
2.5	0.47.8448275862069
2.5	0.3	38.81856540084388
2.5	29.707112970711297
