lambda lambda_ih success
0.1 0.0001 87.0967742
0.1 0.0002 80.5970149
0.1 0.0005 84.2105263
0.1 0.001 78.1818182
0.1 0.002 68.3673469
0.1 0.005 69.5945946
0.1 0.01 59.0909091
0.1 0.02 63.7931034
0.1 0.05 63.4920635
0.1 0.1 66.6666667
0.1 0.2 62.1212121
0.1 0.5 63.4615385
0.1 1 67.4418605
0.1 2 60
0.1 5 3.0769231
0.2 0.0000001 49.122807
0.2 0.0000002 62.962963
0.2 0.0000005 71.6981132
0.2 0.000001 70.6896552
0.2 0.000002 64.7058824
0.2 0.000005 87.2727273
0.2 0.00001 90.9090909
0.2 0.00002 83.3333333
0.2 0.00005 92.3076923
0.2 0.0001 84.2105263
0.2 0.0002 90.7407407
0.2 0.0005 80.5555556
0.2 0.001 75.9259259
0.2 0.002 74.1071429
0.2 0.005 63.2075472
0.2 0.01 78.4313725
0.2 0.02 54.5454545
0.2 0.05 63.7931034
0.2 0.1 61.4035088
0.2 0.2 56.0606061
0.2 0.5 60.4166667
0.2 1 69.5652174
0.2 2 58
0.2 5 3.3333333
0.5 0.0000001 58.490566
0.5 0.0000002 78.4313725
0.5 0.0000005 59.1836735
0.5 0.000001 80
0.5 0.000002 79.245283
0.5 0.000005 75.3623188
0.5 0.00001 90.7407407
0.5 0.00002 91.6666667
0.5 0.00005 90.625
0.5 0.0001 91.2280702
0.5 0.0002 92.1568627
0.5 0.0005 84.7826087
0.5 0.001 89.380531
0.5 0.002 83.7837838
0.5 0.005 83.3333333
0.5 0.01 65.3061224
0.5 0.02 64
0.5 0.05 60
0.5 0.1 69.3548387
0.5 0.2 73.2142857
0.5 0.5 60.3174603
0.5 1 67.8571429
0.5 2 70.1754386
0.5 5 10.1694915
1 0.0000001 54.0983607
1 0.0000002 60.6060606
1 0.0000005 62.295082
1 0.000001 61.0169492
1 0.000002 75
1 0.000005 87.8787879
1 0.00001 92.8571429
1 0.00002 95.0819672
1 0.00005 93.442623
1 0.0001 86.7924528
1 0.0002 100
1 0.0005 97.1014493
1 0.001 92.3809524
1 0.002 83.0357143
1 0.005 78.7401575
1 0.01 69.0909091
1 0.02 79.3650794
1 0.05 71.6666667
1 0.1 69.4915254
1 0.2 70.3703704
1 0.5 67.3076923
1 1 62.9032258
1 2 68.9655172
1 5 17.6470588
10 0.0000001 77.5510204
10 0.0000002 69.5652174
10 0.0000005 63.0434783
10 0.000001 66.6666667
10 0.000002 82.0895522
10 0.000005 88.5245902
10 0.00001 90.4761905
10 0.00002 84.6153846
10 0.00005 94.1176471
10 0.0001 88.5245902
10 0.0002 88.4615385
10 0.0005 91.2280702
10 0.001 94.4954128
10 0.002 88.8888889
10 0.005 77.7777778
10 0.01 70.4545455
10 0.02 81.8181818
10 0.05 72.5
10 0.1 78.6885246
10 0.2 74.6031746
10 0.5 52.173913
10 1 64.1025641
10 10 3.5087719
10 2 56.3636364
10 5 17.2413793
100 0.0000001 68.5185185
100 0.0000002 65.3846154
100 0.0000005 76.5957447
100 0.000001 75.4716981
100 0.000002 87.0967742
100 0.000005 85.2941176
100 0.00001 94.5454545
100 0.00002 96.3636364
100 0.00005 95.5223881
100 0.0001 94.8051948
100 0.0002 93.1034483
100 0.0005 94.7368421
100 0.001 91.8032787
100 0.002 85.8333333
100 0.005 88.5964912
100 0.01 81.25
100 0.02 80.8510638
100 0.05 80.3030303
100 0.1 72.4637681
100 0.2 60.6060606
100 0.5 63.1578947
100 1 61.2244898
100 10 5.7692308
100 2 62.5
100 5 31.147541
1000 0.0000001 68.5185185
1000 0.0000002 77.2727273
1000 0.0000005 75.4716981
1000 0.000001 70
1000 0.000002 85
1000 0.000005 87.0967742
1000 0.00001 90.3225806
1000 0.00002 93.75
1000 0.00005 94.2307692
1000 0.0001 93.6507937
1000 0.0002 88.8888889
1000 0.0005 92
1000 0.001 92.9133858
1000 0.002 92.1259843
1000 0.005 94.4
1000 0.01 89.2307692
1000 0.02 83.3333333
1000 0.05 84.4444444
1000 0.1 77.5
1000 0.2 70
1000 0.5 69.8630137
1000 1 66.6666667
1000 10 5.0847458
1000 2 71.4285714
1000 5 25.4237288
10000 0.0000001 64.4067797
10000 0.0000002 61.6666667
10000 0.0000005 66.6666667
10000 0.000001 78.9473684
10000 0.000002 81.8181818
10000 0.000005 93.1034483
10000 0.00001 91.5254237
10000 0.00002 96.6666667
10000 0.00005 96.3636364
10000 0.0001 96.7213115
10000 0.0002 94
10000 0.0005 96.4912281
10000 0.001 92.8571429
10000 0.002 94.2307692
10000 0.005 91.4285714
10000 0.01 90.9090909
10000 0.02 83.3333333
10000 0.05 81.5384615
10000 0.1 83.3333333
10000 0.2 78.7234043
10000 0.5 64.8148148
10000 1 67.3076923
10000 10 3.8461538
10000 2 74
10000 20 1.6949153
10000 5 20
2 0.0000001 69.0909091
2 0.0000002 73.2142857
2 0.0000005 62
2 0.000001 70
2 0.000002 86.2068966
2 0.000005 88.6792453
2 0.00001 94.5454545
2 0.00002 98.245614
2 0.00005 84.4444444
2 0.0001 93.1818182
2 0.0002 92.1568627
2 0.0005 85.1851852
2 0.001 90.8256881
2 0.002 87.037037
2 0.005 78.3018868
2 0.01 75.5102041
2 0.02 77.7777778
2 0.05 74.137931
2 0.1 69.6428571
2 0.2 75
2 0.5 64.5833333
2 1 67.7419355
2 2 62.5
2 5 27.2727273
20 0.0000001 71.2121212
20 0.0000002 68.8888889
20 0.0000005 75.7575758
20 0.000001 62.745098
20 0.000002 79.3650794
20 0.000005 69.8113208
20 0.00001 88.8888889
20 0.00002 98.5074627
20 0.00005 94.6428571
20 0.0001 86.9565217
20 0.0002 90.1408451
20 0.0005 94.3396226
20 0.001 93.1034483
20 0.002 89.5522388
20 0.005 85.3448276
20 0.01 74.2857143
20 0.02 72.2222222
20 0.05 67.3076923
20 0.1 72.0930233
20 0.2 76.5957447
20 0.5 66.0377358
20 1 67.7966102
20 2 65.2173913
20 5 31.25
200 0.0000001 62.9032258
200 0.0000002 80.7692308
200 0.0000005 73.7704918
200 0.000001 74.5762712
200 0.000002 69.5652174
200 0.000005 84.4827586
200 0.00001 93.75
200 0.00002 92.5925926
200 0.00005 94.3396226
200 0.0001 94.4444444
200 0.0002 93.442623
200 0.0005 89.4736842
200 0.001 94.6902655
200 0.002 88.8059701
200 0.005 88.4615385
200 0.01 88.3333333
200 0.02 89.5833333
200 0.05 68.3333333
200 0.1 71.2328767
200 0.2 71.6666667
200 0.5 67.8571429
200 1 62.295082
200 2 61.2903226
200 5 22.2222222
2000 0.0000001 71.9298246
2000 0.0000002 73.2142857
2000 0.0000005 73.0769231
2000 0.000001 81.6666667
2000 0.000002 78.1818182
2000 0.000005 84.2857143
2000 0.00001 84.1269841
2000 0.00002 94.9152542
2000 0.00005 100
2000 0.0001 92.4528302
2000 0.0002 98.3333333
2000 0.0005 91.0714286
2000 0.001 94.1176471
2000 0.002 93.2692308
2000 0.005 91.3043478
2000 0.01 88.5245902
2000 0.02 80.4347826
2000 0.05 71.1864407
2000 0.1 70.9090909
2000 0.2 69.6428571
2000 0.5 68.2539683
2000 1 62.0689655
2000 10 3.6363636
2000 2 81.1320755
2000 20 1.7241379
2000 5 20
5 0.0000001 71.641791
5 0.0000002 53.4482759
5 0.0000005 72.8813559
5 0.000001 69.6969697
5 0.000002 69.6428571
